,name,type,review,area
179,코리아 지피에스 트래블,행사/투어,256.0,서울
180,대릉원,즐길거리/랜드마크,251.0,경상북도
181,코리도어 투어,행사/투어,249.0,서울
182,서울스카이,전망대,247.0,서울
183,서울이스케이프룸 홍대2호점,테마파크/게임,244.0,서울
184,서귀포매일올레시장,시장,241.0,제주도
185,인천공항 컬쳐포트,전시/극장/공연,240.0,인천
186,문화역서울 284,전시/극장/공연,240.0,서울
187,양동 민속 마을,즐길거리/랜드마크,240.0,경상북도
188,국립현대미술관 서울관,전시/극장/공연,238.0,서울
189,용머리 해안,자연/공원,237.0,제주도
190,쿡코리언,행사/투어,236.0,서울
191,캐리비안 베이,테마파크/게임,235.0,경기도
192,도라전망대,전망대,230.0,경기도
193,신촌,즐길거리/랜드마크,228.0,서울
194,약천사,즐길거리/랜드마크,228.0,제주도
195,경포해변,자연/공원,225.0,강원도
196,트래스코 - 당일 시티 투어,행사/투어,225.0,서울
197,아로마 타이 스파 공덕점,즐길거리/랜드마크,224.0,서울
198,슈퍼 바이크 투어,행사/투어,223.0,서울
199,푸드 앤 컬쳐 아카데미,행사/투어,220.0,서울
200,타임스퀘어,쇼핑몰/백화점,218.0,서울
201,부산 박물관,전시/극장/공연,218.0,부산
202,이기대도시자연공원,자연/공원,218.0,부산
203,동대문 역사 문화 공원,자연/공원,216.0,서울
204,자넷 쿠킹스튜디오 & 서울 푸드 투어,행사/투어,216.0,서울
205,청와대,즐길거리/랜드마크,214.0,서울
206,피엘케이 트래블,행사/투어,209.0,서울
207,케이 쿠킹클래스,행사/투어,207.0,서울
208,제주 돌문화 공원,자연/공원,207.0,제주도
209,하이 제주 택시 투어,행사/투어,205.0,제주도
210,서울 월드컵 경기장 (상암 월드컵 경기장),테마파크/게임,204.0,서울
211,SM타운 코엑스아티움,쇼핑몰/백화점,204.0,서울
212,두타,쇼핑몰/백화점,204.0,서울
213,세븐럭카지노 강북힐튼점,테마파크/게임,204.0,서울
214,DMZ 투어,행사/투어,204.0,서울
215,고투 몰,쇼핑몰/백화점,203.0,서울
216,서울 펍 크롤,행사/투어,201.0,서울
217,부산타워,전망대,200.0,부산
218,박물관은살아있다 인사동점,전시/극장/공연,200.0,서울
219,홍대앞 예술시장 프리마켓,시장,197.0,서울
220,코엑스 센터,즐길거리/랜드마크,196.0,서울
221,코스모진 투어 - 당일 투어,행사/투어,196.0,서울
222,국립 고궁 박물관,전시/극장/공연,195.0,서울
223,울산바위,자연/공원,195.0,강원도
224,3D블랙아트 박물관,전시/극장/공연,193.0,서울
225,부산 시티 투어 버스,행사/투어,192.0,부산
226,보문호,자연/공원,191.0,경상북도
227,속초중앙시장,시장,189.0,강원도
228,제주민속촌,전시/극장/공연,189.0,제주도
229,IFC 몰,쇼핑몰/백화점,184.0,서울
230,임진각 평화 누리 공원,자연/공원,184.0,경기도
231,컬러 오브 코리아 투어,행사/투어,184.0,서울
232,제주 여미지 식물원,자연/공원,183.0,제주도
233,자유공원,자연/공원,182.0,인천
234,서울로7017,자연/공원,182.0,서울
235,서울헌터즈,행사/투어,180.0,서울
236,정이의 쿠킹 클라스,행사/투어,177.0,서울
237,제주 유리의 성,테마파크/게임,177.0,제주도
238,커먼그라운드,쇼핑몰/백화점,177.0,서울
239,흑돼지 거리,즐길거리/랜드마크,172.0,제주도
240,이랜드크루즈,행사/투어,172.0,서울
241,서울 한양 도성,즐길거리/랜드마크,171.0,서울
242,선릉과 정릉,즐길거리/랜드마크,171.0,서울
243,중문 색달 해변,자연/공원,170.0,제주도
244,한국의 집,,169.0,서울
245,을왕리해수욕장,자연/공원,169.0,인천
246,부산김해경전철,교통서비스,169.0,부산
247,압구정 로데오 거리,쇼핑몰/백화점,169.0,서울
248,낙산사,즐길거리/랜드마크,168.0,강원도
249,제주 민속자연사 박물관,전시/극장/공연,167.0,제주도
250,건강과 성 박물관,전시/극장/공연,166.0,제주도
251,파주 프리미엄 아울렛,쇼핑몰/백화점,162.0,경기도
252,김해공항 국제선 터미널 관광안내소,즐길거리/랜드마크,161.0,부산
253,믿거나 말거나 박물관,전시/극장/공연,161.0,제주도
