랭킹	지역	상호명	업종	주소	경도	위도
6933	서울	양스앤메츠(Yanks&Mattz;)	카페/주점	영등포구 여의도동	126.9284428	37.5286693
6934	서울	세렝게티(SERENGETEA)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6935	강원	훈이네	한식	강원 속초시 대포동	128.5996661	38.1741902
6936	전남	동백회관	한식	전남 여수시 수정동	127.7540088	34.743552
6937	제주	팔랑개비	한식	제주 서귀포시 성산읍	126.8647385	33.4180242
6938	서울	빙빙빙 홍대점	카페/주점	마포구 서교동	126.9187795	37.5538373
6939	서울	이제이베이킹스튜디오	카페/주점	강남구 역삼동	127.0385535	37.5000807
6940	서울	울프하운드(the wolfhound)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6941	서울	쿠노요(KUNOYO)	카페/주점	강남구 신사동	127.0265061	37.5238058
6942	서울	코요테살룬(Coyote Saloon)	양식	마포구 서교동	126.9187795	37.5538373
6943	제주	라올레(켄싱턴제주호텔)	뷔페	제주 서귀포시 색달동	126.4193099	33.2939785
6944	서울	미쿡오빠(美COOK OPPA)	양식	용산구 한남동	127.0051795	37.5375402
6945	경북	cafe101	카페/주점	경북 경주시 노동동	129.2117373	35.8421183
6946	서울	아날로그20_21(analogue20_21)	카페/주점	강남구 신사동	127.0265061	37.5238058
6947	강원	바우순대국 속초점	한식	강원 속초시 금호동	128.5794635	38.2100509
6948	서울	봉우화로	한식	강남구 역삼1동	127.0330727	37.4953596
6949	경기	홍대돈부리 의정부점	일식	경기 의정부시 의정부동	127.0422196	37.7374697
6950	서울	레드신 압구정본점	분식	강남구 신사동	127.0265061	37.5238058
6951	강원	남북횟집	일식	강원 속초시 장사동	128.5579129	38.2141016
6952	서울	라룬비올렛 본점	양식	마포구 동교동	126.9251538	37.5575987
6953	경북	현대밀면	한식	경북 경주시 서부동	129.2085165	35.8472429
6954	경북	고두반	한식	경북 경주시 도지동	129.2705248	35.7976553
6955	경기	앵커드(ANCHORED)	카페/주점	고양시 일산동구 정발산동	126.7780185	37.6704611
6956	서울	유이안	카페/주점	강남구 역삼동	127.0385535	37.5000807
6957	서울	나루토	일식	서초구 양재동	127.0374214	37.4719677
6958	서울	생활맥주 신논현점	카페/주점	서초구 서초동	127.0168004	37.4883773
6959	서울	로드스테이크(ROAD STEAK)	양식	용산구 이태원동	126.9925274	37.5385142
6960	부산	도쿄루즈	카페/주점	부산 부산진구 부전동	129.0579244	35.1573826
6961	서울	일송정	한식	용산구 이태원동	126.9925274	37.5385142
6962	광주	더솥(THE솥)	한식	광주 동구 광산동	126.919479	35.1464927
6963	서울	하꼬야(HAKOYA) 강남점	일식	서초구 서초동	127.0168004	37.4883773
6964	서울	헬로엠(HELLO M)	베이커리	강남구 신사동	127.0265061	37.5238058
6965	강원	윤스커피(YOONS COFFEE)	카페/주점	강원 강릉시 교동	128.8880235	37.767407
6966	경남	브리즈가든	한식	경남 거제시 일운면	128.6946715	34.8209326
6967	강원	카이타스	기타/세계	강원 홍천군 서면	127.6350623	37.6672343
6968	강원	돈통(돈Tong) 속초교동점	한식	강원 속초시 교동	128.573907	38.2018975
6969	경북	조은밥집	한식	경북 경주시 황오동	129.2201824	35.8420779
6970	서울	피맥(PMc)	카페/주점	용산구 이태원동	126.9925274	37.5385142
