,name,type,review,area
209,국립극장,시어터,24,서울
210,굿모닝시티,쇼핑몰,50,서울
211,이태원 앤틱 가구 거리,인근 지역,44,서울
212,진관사,종교적인 장소,16,서울
213,현대시티아울렛 - 동대문점,백화점 • 쇼핑몰,10,서울
214,와룡 공원,공원,16,서울
215,회현 지하 상가,쇼핑몰,75,서울
216,송파나루공원,공원,20,서울
217,허준 박물관,전문 박물관,14,서울
218,가든파이브,쇼핑몰,29,서울
219,여의도 샛강 생태 공원,공원,19,서울
220,남산야외식물원,가든,5,서울
221,평화시장,즐길거리 & 랜드마크,28,서울
222,서울상상나라,과학박물관 • 어린이 박물관,10,서울
223,국립국악원,전문 박물관,98,서울
224,북촌 전망대,관측소 & 천체투영관,52,서울
225,덕수궁 돌담길,즐길거리 & 랜드마크 • 유서 깊은 산책로,13,서울
226,삼청공원,즐길거리 & 랜드마크 • 공원,9,서울
227,낙산 묘각사,종교적인 장소,13,서울
228,DMC홍보관,전문 박물관,10,서울
229,국회 의사당,즐길거리 & 랜드마크,58,서울
230,샤롯데 씨어터,시어터,28,서울
231,중앙고등학교 (겨울연가 촬영지),교육적인 장소,33,서울
232,서울파이낸스센터,쇼핑몰,13,서울
233,쎈토이뮤지엄&쇼룸,전문 박물관,3,서울
234,서울 미술관,전문 박물관,18,서울
235,홍릉 수목원,공원,22,서울
236,인사동 홍보관 관광안내소,관광센터,26,서울
237,서울성공회성당,교회 & 성당,22,서울
238,시네코아비밥전용관,시어터,8,서울
239,북악스카이웨이,즐길거리 & 랜드마크 • 전망대,8,서울
240,화계사,종교적인 장소,15,서울
241,잠실종합운동장,아레나 & 경기장,10,서울
242,한성백제문화제,문화 행사,7,서울
243,종각젊음의거리,인근 지역 • 즐길거리 & 랜드마크,21,서울
244,국립민속박물관 어린이박물관,어린이 박물관,18,서울
245,농업 박물관,역사박물관,6,서울
246,롯데콘서트홀,시어터,8,서울
247,충무아트센터,시어터,15,서울
248,명동 서초 불한증막,명동/남대문,50,서울
249,문화비축기지,즐길거리 & 랜드마크 • 공원,8,서울
250,수성동 계곡,계곡,11,서울
251,몽촌토성,역사적인 장소 • 경관이 좋은 산책로,16,서울
252,서울대학교병원 의학박물관,전문 박물관,11,서울
253,장충단공원,공원,18,서울
254,봉원사,종교적인 장소,12,서울
255,서울 올림픽 기념관,전문 박물관,14,서울
256,명동밀리오레,쇼핑몰,42,서울
257,서울 밤도깨비 야시장 - 여의도,벼룩시장 & 재래시장,3,서울
258,동대문지하쇼핑센터,쇼핑몰,15,서울
259,태릉,역사적인 장소,8,서울
260,마포 농수산물 시장,벼룩시장 & 재래시장,8,서울
261,청계천 박물관,전문 박물관,18,서울
262,평화의소녀상,기념비 및 동상,7,서울
